review_id,order_id,review_score,review_comment_title,review_comment_message,review_creation_date,review_answer_timestamp
53bbc6d11dc002f049b57330096e024b,785b7455ab5bec2f5e04de3cf829209d,5,,Recomendo ,2017-12-12 00:00:00,2017-12-13 20:44:13
bb498e8fc0994fc618eaf40cc05546c7,6b361f3f4c4dbef6a4e3e6c027eacfc0,1,,,2018-04-06 00:00:00,2018-04-06 22:27:13
3ccf38e71c76e8da13cf2ec2e0c05ab3,ecf0550514f842e08751a017c78fc02a,5,,,2017-06-07 00:00:00,2017-06-07 16:58:09
312ef4e8b97f773786405d5060a29bed,af70a5f50d99c3d85f9cc17bf5a854f3,4,,"Produto chegou dentro do prazo.
Produto bom, bem embalado.
Porém, o prazo de entrega do produto era até dia 07/02, ou seja, do dia 10/01, até 07/02, mas chegou dia 30/01.
Um transportadora agilizar",2018-01-31 00:00:00,2018-01-31 20:42:29
69d771e1e933ef6563bfe0704ceb4ebb,cf49bdb4bd3a57ea5f439199c69d5911,5,,,2017-12-05 00:00:00,2017-12-05 23:04:26
997a7846ec9920be594bcdbc63f3bcb3,c76a39319cf13b7f3b9e3bded3315f86,5,,"Veio bem antes do prazo, o teclado e o mouse funcionam na minha tv smart 4k da Samsung. Uma maravilha!",2017-05-20 00:00:00,2017-05-22 23:07:48
3812e87853acdbb5100f47a545098c90,4fe4c496a13fb35dc73b330ccb988813,3,,,2018-07-26 00:00:00,2018-07-27 22:08:03
51d5443147749f479de240a640289e62,4ac122e6ce71a07175e5bf2551f02c40,5,,,2018-07-27 00:00:00,2018-07-27 09:27:08
cbc6f7d2cfc5f02ec7c849b9fcc290c6,82399e6596439c56390d6e5399e382df,5,,"Muito boa a loja, o produto chegou antes da data de entrega.",2017-05-31 00:00:00,2017-05-31 09:57:33
ddb37527155b601ac2f196fdc88c2775,f9fed19b3b66623201e5b3de18baacf6,5,,,2018-05-25 00:00:00,2018-05-25 19:57:10
b1962ef690c2adec631839b04234dee5,c588d6fe9640b6198171ed8c30981057,5,dez recomendo,otimo,2018-07-10 00:00:00,2018-07-11 02:56:03
9e4c8acfdc782eef696149db69ac13ea,bbbaa059721d8a17be92ed10c61d2a59,5,,,2017-06-27 00:00:00,2017-06-28 13:10:45
8fbe24c8aac4b2d507972595a9ce531f,8ed5de57cd5a8f586bf53161d135fbc3,5,,,2018-05-11 00:00:00,2018-05-12 03:49:18
329d1ec4725d5696c5fe05bcdb01e63f,9a1ee1a8feb17ebd8368c1b36e97bac1,4,,"Estou aguardando (2) duas garrafas ainda que não chegaram, mas tem até o dia 20/02 para chegar segundo administrador ",2018-02-09 00:00:00,2018-02-15 12:58:28
e1231922a12015c50ef6f7b2f4336951,1cc1289499f63feb5febc86506a7052c,5,,"Só faltou mesmo o manual para regular o relógio, é meio complicado. Vou ter que levar em uma relojoaria para me ensinarem.
Mas o produto é o esperado.",2017-09-21 00:00:00,2017-09-29 10:15:24
65c3be460df7a03361be7ca0a89a0636,d6b16c30481ca56fec3cc6919a37c1c1,5,,,2017-04-12 00:00:00,2017-04-13 01:32:17
ef8ae544c432bb1053ba5990bd0d6227,e18ebd6286697a3f0f6fe267d8286cb2,1,,EU NÃO RECEBI O PRODUTO E CONSTA NO SISTEMA QUE EU RECEBI ALÉM DE PAGAR CARO DO FRETE ,2018-01-12 00:00:00,2018-01-13 00:28:49
